DocumentType,DocumentTitle,Abstract,Author,Editor,BookAuthors,PublicationName,Publisher,PublicationYear,PrintedPublicationYear,PublisherCity,Volume,Issue,StartPage,EndPage,BookTitle,BookSeriesTitle,Descriptors,PMID,ID,Correspondence,ISSN,ISBN,DOI
"Journal Article","Professional care as an option prior to self-harm: A qualitative study exploring young people's experiences.","Background: Deliberate self-harm (DSH) is a growing problem among young people and is a major risk factor for suicide. Young adults experiencing mental distress and suicidal ideation are reluctant to seek help, requiring new strategies to reach this group. Aims: The present study explored young people's views of professional care before first contact for DSH, and factors that influenced the establishing of contact. Method: Interviews with 10 young individuals, shortly after they had harmed themselves, were analyzed using qualitative content analysis. Results: The participants emphasized the importance of receiving more knowledge on where to turn, having different help-seeking options, and receiving immediate help. Family and friends were vital for support and making health care contact. The quality of the professional contact was stressed. Several reasons for not communicating distress were mentioned. Two themes were identified: 'A need for a more flexible, available and varied health care' and 'A struggle to be independent and yet being in need of reliable support.' Conclusion: These findings suggest that easy and direct access to professional help is a decisive factor for young people experiencing psychological problems and that health services must find new ways of communicating information on seeking mental health help. (PsycINFO Database Record (c) 2016 APA, all rights reserved)","Idenfors, Hans;Kullgren, Gunnar;Salander Renberg, Ellinor","","","","Hogrefe Publishing","2015","","Germany","36","3","179","186","","","*Adult Attitudes;  *Health Care Seeking Behavior;  *Help Seeking Behavior;  *Self-Injurious Behavior; Risk Factors; Suicide","26088828","2015-26792-001","Idenfors, Hans: Department of Clinical Sciences, Division of Psychiatry, Umeå University, Umeå, Sweden, hans.idenfors@umu.se","2151-2396(Electronic);0227-5910(Print)","","https://doi.org/10.1027/0227-5910/a000310"
"Journal Article","Clinical considerations when intervening with individuals exposed to violence.","Objective: Clinical considerations that can be culled from the intervention research presented in this special issue are summarized for practitioners treating violence-involved (i.e., perpetrators and victims of violence) populations. Clinical reflections are organized thematically, with studies grouped based on (a) unique settings for clinical care, (b) innovative methods for clinical care, (c) advanced assessments for monitoring clinical care, and (d) co-occurring conditions to address when providing clinical care. Key Points: Unique settings for clinical service delivery, including hospitals and schools, provide opportunities for multicomponent and multidisciplinary treatment of violence-involved individuals. Innovative methods for clinical care incorporate technological advances and pharmacology to move beyond traditional service delivery techniques. Advanced assessments for clinical work consider not just psychopathology, but also adaptive functioning and cognitive sequelae when conceptualizing individuals involved in violence. HIV is one of many conditions that commonly co-occur with violence; ways to incorporate sexual risk into violence treatment and vice versa are addressed. Implications: Clinicians can consider this summary of clinical takeaway points as a practical resource for treating violence-involved populations. (PsycINFO Database Record (c) 2016 APA, all rights reserved)","Howell, Kathryn H.;Miller-Graff, Laura E.","","","","Educational Publishing Foundation","2016","","US","6","3","478","483","","","*Intervention;  *Treatment;  *Violence; Aggressive Behavior; Clinicians","","2016-31208-002","Howell, Kathryn H.: Department of Psychology, University of Memphis, 202 Psychology Building, Memphis, TN, US, 38152-3230, k.howell@memphis.edu","2152-081X(Electronic);2152-0828(Print)","1-4338-2664-X; 978-1-4338-2664-1","https://doi.org/10.1037/vio0000057"
"Journal Article","Case study: Play therapy and eye movement desensitization and reprocessing for pediatric single incident posttraumatic stress disorder and developmental regression.","This qualitative study describes a successful 5-month pediatric treatment for posttraumatic stress disorder (PTSD) arising from a single incident trauma. Treatment was conceptualized through the adaptive information processing model and the use of eye movement desensitization and reprocessing integrated with child-centered play therapy, supported with family therapy and cognitive–behavioral strategies. When 5½ years old, the client experienced a tornado while separated from his mother and twin sister at a theme park. He developed significant symptoms of PTSD and developmental regression not present prior to the incident. Subsequent treatment from several providers and medications targeting symptoms were unsuccessful. This treatment, 1 year posttrauma, resulted in the resolution of his PTSD symptoms, reestablishment of pretraumatized development trajectory, and recovery to age-appropriate expectations and growth sustained 3 years posttrauma. (PsycINFO Database Record (c) 2016 APA, all rights reserved)","Banbury, Nicolette M.","","","","Educational Publishing Foundation","2016","","US","25","3","166","174","","","*Eye Movement Desensitization Therapy;  *Play Therapy;  *Posttraumatic Stress Disorder; Adjustment; Cognitive Processes; Information","","2016-34055-006","Banbury, Nicolette M.: Marlborough Clinical Practice, LLC, 11 South Main Street, Marlborough, CT, US, 06447, banburysixty@aol.com","1939-0629(Electronic);1555-6824(Print)","1-4338-2674-7; 978-1-4338-2674-0","https://doi.org/10.1037/pla0000026"
"Journal Article","Psychoeducation for children and adults after the Marmara earthquake: An evaluation study.","Education about the psychological reactions in the aftermath of a traumatic event may help reduce the adverse effects by providing a cognitive framework for one’s experience, and provides the survivors of trauma view their reactions as expectable; recognize the circumstances under which they should consider seeking further counseling; increase use of adaptive ways of coping; increase ability to help family members cope. This type of psychosocial intervention was used to reach the parents and children in the earthquake affected region after the Marmara earthquakes. The major aim of the present study is to make an assessment of the impact of these interventions. The assessment procedure consists of a satisfaction survey of the parents and children who attended the seminars. A comparison is also made between those who attended the seminars and those who did not, in terms of their opinions on issues regarding the psychological effects of the earthquakes. This report represents the data from a total of 463 parents and 774 students. In the parents group, 326 were in the comparison group and 137 were in the study group. Among the students, 181 were in the comparison group and 593 in the study group. Two questionnaires were used to collect data from the participants in the study. One questionnaire was for children over 12 years of age, and the other was for the parents. The results in general showed that, the seminars were helpful for parents and children to learn about the psychological reactions people have after earthquakes. However, they also showed that, to be more effective, there is a need for improvement in the way the seminars are conducted. (PsycINFO Database Record (c) 2016 APA, all rights reserved)","Sahin, Nesrin Hisli;Yilmaz, Banu;Batigun, Aysegul","","","","Sage Publications","2011","","US","17","1","41","49","","","*Coping Behavior;  *Emotional Trauma;  *Psychoeducation; Cognitive Ability; Natural Disasters; Survivors","","2011-11330-006","Yilmaz, Banu: Ankara University, Faculty of Letters, Psychology Department, Ankara, Turkey, byilmaz@humanity.ankara.edu.tr","1085-9373(Electronic);1534-7656(Print)","","https://doi.org/10.1177/1534765610395624"
"Journal Article","A review and meta-analysis of perfectionism interventions: Comparing face-to-face with online modalities.","Extending Lloyd, Schmidt, Khondoker, and Tchanturia (2015), this review and meta-analysis evaluated the effectiveness of randomized controlled trials aimed at reducing perfectionism and associated symptoms of depression and anxiety. Of particular interest was the examination of a moderator of delivery method (face-to-face vs. online) in testing the effectiveness of psychological interventions. Also examined is the effect of two structural moderators (control condition type, sample characteristic). A total of 10 studies were identified (65 perfectionism effect sizes, 8 depression effect sizes, and 8 anxiety effect sizes). Psychological interventions were effective in decreasing perfectionism dimensions, depression, and anxiety with medium effect sizes. There were no significant differences in delivery modality, control condition type, and sample characteristic on effect sizes. Findings suggest that psychological interventions are generally effective in reducing perfectionism, although there is no apparent delineation in increasing “adaptive” perfectionism and decreasing “maladaptive” perfectionism. Although comparable benefits were shown in face-to-face and online intervention delivery modes, we suggest prudently incorporating online interventions into clinical practice. (PsycINFO Database Record (c) 2019 APA, all rights reserved)","Suh, Hanna;Sohn, Harim;Kim, Taeyoung;Lee, Dong-gwi","","","","American Psychological Association","2019","","US","66","4","473","486","","","*Anxiety;  *Intervention;  *Major Depression;  *Perfectionism;  *Randomized Controlled Trials; Symptoms; Treatment Effectiveness Evaluation; Digital Interventions","31180702","2019-31822-001","Suh, Hanna: Department of Counseling, School, and Educational Psychology, University at Buffalo, The State University of New York, 409 Baldy Hall, Buffalo, NY, US, 14260-1000, hannasuh@buffalo.edu","1939-2168(Electronic);0022-0167(Print)","","https://doi.org/10.1037/cou0000355"
"Comment/Reply","Commentary: 'Treatment Is Not Enough: We Must Prevent Depression in Women,' by Le, Munoz, Ippen and Stoddard (2003).","Le, Munoz, Ippen and Stoddard (2003) made a compelling argument for making depression prevention in women a national priority. They noted the limited amount of research on depression prevention and emphasized the need for growth in this area. We discuss several issues in our commentary that deserve further thought and consideration. Given the high prevalence of depression and the prevalence of associated psychosocial and economic risk factors (e.g., poverty, stress), we question whether universal prevention efforts are appropriate. We also note that social, economic, and political factors likely influence women's risk for depression. A major challenge of future prevention research in this area will be to incorporate other disciplines in the task of understanding the relationships among these factors. Gaining a better conceptual understanding of the nature of these complex relationships will enable us to develop better risk profiles and to develop conceptual models that will be flexible enough to incorporate the diversity in women's gender socialization, educational and economic status, racial and ethnic identity, acculturation, and so forth. (PsycINFO Database Record (c) 2016 APA, all rights reserved)","Brown, Charlotte;Abe-Kim, Jennifer;Barrio, Concepcion","","","","American Psychological Association","2003","","US","6","1","No Pagination Specified","No Pagination Specified","","","*At Risk Populations;  *Human Females;  *Major Depression;  *Prevention;  *Public Health; Adolescent Development; Pregnancy; Sociocultural Factors; Tobacco Smoking","","2003-08715-009","Brown, Charlotte: brownc@msx.upmc.edu","1522-3736(Electronic)","","https://doi.org/10.1037/1522-3736.6.1.618c"
"Journal Article","Present, protective, and promotive: Mentors’ roles in the lives of young adults in residential care.","Mentoring relationships are considered among the most significant relationships with nonparental figures and a protective factor against a wide range of negative outcomes. This exploratory study explored mentoring relationships in the lives of 140 care leavers, and the way those relationships influenced their life course. Findings showed that most of the mentors were known to the young adults from their former care placement for 3 years and above. Thematic analysis revealed 2 main “types” of mentor: (1) a present, accessible and supportive mentor, who is mainly characterized as a parental figure and a role model, a life coach who is also a confidant; (2) a motivating and catalyzing mentor, who is characterized as promoting adaptive coping with life stressors, and leading the young adults to set and achieve their goals and change their behavioral and mental status for the better. The discussion addresses the contribution of mentoring relationships to the young adults’ resilience in reference to social support and attachment theories. It discusses the importance of promoting a “mentoring policy” within the residential care settings, to enable youth to continue their relationships with their mentors during their challenging transition to emerging adulthood. (PsycINFO Database Record (c) 2018 APA, all rights reserved)","Sulimani-Aidan, Yafit","","","","Educational Publishing Foundation","2018","","US","88","1","69","77","","","*Mentor;  *Residential Care Institutions;  *Resilience (Psychological);  *Emerging Adulthood; Attachment Theory; Coping Behavior; Health Promotion; Life Span; Protective Factors; Social Support; Stress","27977286","2016-60393-001","Sulimani-Aidan, Yafit: Bob Shapell School of Social Work, Tel Aviv University, Ramat Aviv, Tel Aviv, Israel, 69978, yafitsoul@gmail.com","1939-0025(Electronic);0002-9432(Print)","","https://doi.org/10.1037/ort0000235"
"Journal Article","Best practices and recommendations for digital interventions to improve engagement and adherence in chronic illness sufferers.","Chronic illnesses cause considerable burden in quality of life, often leading to physical, psychological, and social dysfunctioning of the sufferers and their family. There is a growing need for flexible provision of home-based psychological services to increase reach even for traditionally underserved chronic illness sufferer populations. Digital interventions can fulfill this role and provide a range of psychological services to improve functioning. Despite the potential of digital interventions, concerns remain regarding users’ engagement, as low engagement is associated with low adherence rates, high attrition, and suboptimal exposure to the intervention. Human–computer interaction (e.g., theoretical models of persuasive system design, gamification, tailoring, and supportive accountability) and user characteristics (e.g., gender, age, computer literacy) are the main identified culprits contributing to engagement and adherence difficulties. To date, there have not been any clear and concise recommendations for improved utilization and engagement in digital interventions. This paper provides an overview of user engagement factors and proposes research informed recommendations for engagement and adherence planning in digital intervention development. The recommendations were derived from the literature and consensualized by expert members of the European Federation of Psychology Associations, Psychology and Health Standing Committee, and e-Health Task Force. These recommendations serve as a starting point for researchers and clinicians interested in the digitalized health field and promote effective planning for engagement when developing digital interventions with the potential to maximize adherence and optimal exposure in the treatment of chronic health conditions. (PsycINFO Database Record (c) 2019 APA, all rights reserved)","Karekla, Maria;Kasinopoulos, Orestis;Neto, David Dias;Ebert, David Daniel;Van Daele, Tom;Nordgreen, Tine;Höfer, Stefan;Oeverland, Svein;Jensen, Kit Lisbeth","","","","Hogrefe Publishing","2019","","Germany","24","1","49","67","","","*Chronic Illness;  *Health Promotion;  *Best Practices;  *Electronic Health Services;  *Digital Interventions; Human Computer Interaction; Quality of Life; Treatment Planning; Psychological Engagement","","2019-08476-004","Karekla, Maria: Department of Psychology, University of Cyprus, Nicosia, Cyprus, 2108, mkarekla@ucy.ac.cy","1878-531X(Electronic);1016-9040(Print)","","https://doi.org/10.1027/1016-9040/a000349"
"Journal Article","Nonattachment and mindfulness: Related but distinct constructs.","In this study, we examined whether nonattachment, a relatively new construct in the mindfulness literature, showed convergent, discriminant, and incremental validity in relation to the well-studied 5 facets of mindfulness. Mindfulness was defined as a multifaceted construct including observing, describing, acting with awareness, nonjudging, and nonreactivity; and measured using the recently validated, 20-item Five Facet Mindfulness Questionnaire (FFMQ; Tran, Glück, & Nader, 2013; Baer, Smith, Hopkins, Krietemeyer, & Toney, 2006). Nonattachment was defined as a flexible, balanced way of relating to one’s experiences without clinging to or suppressing them, and measured using the 7-item Nonattachment Scale (NAS-7; Elphinstone, Sahdra, & Ciarrochi, 2015; Sahdra, Shaver, & Brown, 2015). In a large nationally representative sample of Americans (N = 7,884; 52% women; age, M = 47.9, SD = 16), nonattachment was positively related to all 5 aspects of mindfulness. Structural equation modeling showed that the 20-item FFMQ and NAS-7 showed good fit; their factor structures were invariant across genders and age groups; and NAS-7 was empirically distinguishable from the 5 mindfulness facets. Hierarchical regression models provided evidence of the incremental validity of NAS-7. Finally, mediation models showed that nonattachment substantially mediated the links between the mindfulness facets and the outcome variables of satisfaction with life and life effectiveness. (PsycINFO Database Record (c) 2016 APA, all rights reserved)","Sahdra, Baljinder;Ciarrochi, Joseph;Parker, Philip","","","","American Psychological Association","2016","","US","28","7","819","829","","","*Life Satisfaction;  *Questionnaires;  *Test Validity;  *Mindfulness; Attachment Behavior","27078180","2016-17967-001","Sahdra, Baljinder: Institute for Positive Psychology and Education, Australian Catholic University, Locked Bag 2002, Strathfield, NSW, Australia, 2135, baljinder.sahdra@acu.edu.au","1939-134X(Electronic);1040-3590(Print)","1-4338-2666-6; 978-1-4338-2666-5","https://doi.org/10.1037/pas0000264"
"Journal Article","The protective function of personal growth initiative among a genocide-affected population in Rwanda.","The aim of the current study was to investigate the extent to which individual differences in personal growth initiative (PGI) were associated with lower reports of functional impairment of daily activities among a genocide-affected population in Rwanda. PGI measures an individual’s motivation to develop as a person and the extent to which he or she is active in setting goals that work toward achieving self-improvement. We found that PGI was negatively associated with functional impairment when controlling for depression, posttraumatic stress disorder, and other demographic factors. Our results suggest that PGI may constitute an important mindset for facilitating adaptive functioning in the aftermath of adversity and in the midst of psychological distress, and as such they might have practical applications for the development of intervention programs. (PsycINFO Database Record (c) 2016 APA, all rights reserved)","Blackie, Laura E. R.;Jayawickreme, Eranda;Forgeard, Marie J. C.;Jayawickreme, Nuwan","","","","Educational Publishing Foundation","2015","","US","7","4","333","339","","","*Genocide;  *Individual Differences;  *Initiative;  *Protective Factors;  *Posttraumatic Growth; Daily Activities; Major Depression; Posttraumatic Stress Disorder","26147518","2014-48764-001","Blackie, Laura E. R.: Department of Psychology, Wake Forest University, PO Box 7778, Winston-Salem, NC, US, 27109, blackile@wfu.edu","1942-969X(Electronic);1942-9681(Print)","","https://doi.org/10.1037/tra0000010"
"Journal Article","Understanding intra-response class covariation from the matching theory perspective.","The purpose of this study was to utilize the matching theory to understand intra-response class covariation as a result of extinction for selected members of the response class versus functional communication training. The participant was a 9-year old girl with a severe disability and problem behaviors. Experimental procedures included functional analysis, extinction, and functional communication training. Results showed that in accordance with the matching theory, responses (problem or adaptive) that were continuously reinforced occurred at a higher rate when compared to responses on extinction. In addition, extinction for some problem responses increased the rate of nontargeted problem responses; however, concurrent reinforcement of a newly learned functionally equivalent communication response increased the rate of this behavior and decreased all problem behaviors. (PsycINFO Database Record (c) 2016 APA, all rights reserved)","Shukla-Mehta, Smita;Albin, Richard W.","","","","Joseph D. Cautilli","2005","","US","2","4","268","281","","","*Behavior Analysis;  *Behavior Problems;  *Communication Skills Training;  *Developmental Disabilities; Extinction (Learning); Theories","","2014-52009-005","Shukla-Mehta, Smita: College of Education and Psychology, University of Texas at Tyler, Tyler, TX, US, 75799, smehta@mail.uttyl.edu","1554-4893(Electronic)","","https://doi.org/10.1037/h0100320"
"Journal Article","War trauma, psychological distress, and coping among Afghan civilians seeking primary health care.","The present study examined the relationship between war trauma and distress and the potential moderating role of emotion and social, avoidant, and religious coping among 81 participants seeking medical services at a primary care clinic in Kabul. Local Afghan researchers administered the Afghan Symptom Checklist, Afghan War Experiences Scale, a brief scale of other non-war-related traumatic experiences, two subscales of the COPE, an Avoidant Coping Scale, and a demographics questionnaire, and conducted a brief semistructured interview. Results revealed a significant contribution of war-related traumatic events (11%) to symptoms of distress and an additional contribution of nonwar-related trauma (7%) to distress (p’s ≤ .01). Emotion and social coping and avoidant coping were positively correlated with distress (r = .23, and .60, respectively) and did not moderate the relationship between war trauma and distress. Qualitative responses were also recorded regarding various coping strategies and shed light on specific ways in which participants dealt with trauma. Demographics revealed that women reported higher symptom levels than men (p < .05), and age was positively correlated with symptoms, while education showed a negative relation with symptoms (r = .46 and −.22, respectively). While traumatic events were positively associated with distress, adaptive coping strategies that mitigated this distress were not identified by the quantitative analyses. Qualitative data suggested that religious practices, staying busy, and seeking help from others were the most frequently reported coping strategies. It is important to continue to explore these factors and others that may help mitigate the impact of traumatic events in this culture. (PsycINFO Database Record (c) 2017 APA, all rights reserved)","Wildt, Hillary;Umanos, Jerry;Khanzada, Nargis Karim;Saleh, Masooda;Rahman, Habib Ul;Zakowski, Sandra G.","","","","Educational Publishing Foundation","2017","","US","6","2","81","100","","","*Coping Behavior;  *Distress;  *Health Care Seeking Behavior;  *Primary Health Care;  *Trauma; War","","2017-02066-001","Wildt, Hillary: 2020 North California Avenue Suite 7, #220, Chicago, CA, US, 60647, hanicolls@gmail.com","2157-3891(Electronic);2157-3883(Print)","","https://doi.org/10.1037/ipp0000065"
"Journal Article","Is the association between sexual satisfaction and neuroticism in treatment-seeking couples curvilinear?","Neuroticism is generally regarded as an inherently negative characteristic. However, previous findings suggest that this trait may have adaptive features in the context of close relationships. The current study examined the curvilinear association among neuroticism and sexual satisfaction in both partners of couples from a clinical population. The sample was composed of 539 treatment-seeking couples who completed measures of personality and sexual satisfaction. Results indicated that very low to low levels of self-reported neuroticism were positively associated with self-reported sexual satisfaction, whereas low to high levels were negatively associated with sexual satisfaction. Thus, both very low and high levels of neuroticism predicted poorer sexual satisfaction, whereas low to moderate levels of neuroticism predicted higher levels of sexual satisfaction. This association remained significant after controlling for the other dimensions of the five-factor model of personality. The current findings suggest that, in clinical couples, the association between neuroticism and couple outcomes may be more complex than the linear relation that has been the focus of past studies. (PsycINFO Database Record (c) 2016 APA, all rights reserved)","Daspe, Marie-Ève;Sabourin, Stéphane;Lussier, Yvan;Péloquin, Katherine;Wright, John","","","","Educational Publishing Foundation","2015","","US","4","2","92","105","","","*Couples;  *Health Care Seeking Behavior;  *Neuroticism;  *Personality;  *Sexual Satisfaction; Five Factor Personality Model; Sexual Partners","","2015-18267-001","Sabourin, Stéphane: School of Psychology, Université Laval, Pavillon Félix-Antoine-Savard, 2325, Rue des Bibliothèques, Bureau 1116, Québec, PQ, Canada, G1V 0A6, stephane.sabourin@psy.ulaval.ca","2160-410X(Electronic);2160-4096(Print)","","https://doi.org/10.1037/cfp0000041"
"Journal Article","Using flexible clinical processes in the Unified Protocol for the Treatment of Emotional Disorders in Adolescence.","The purpose of this manuscript is to highlight the Unified Protocol for the Treatment of Emotional Disorders in Adolescents (UP-A) as an exemplar model of a principle-based, flexible treatment for adolescents with either depressive or anxiety disorders. The theoretical basis, mechanism of change, and research support for three of the UP-A’s guiding treatment principles are presented. Verbal exchanges between UP-A therapists and adolescent clients are shared to demonstrate clinical processes related to UP-A techniques that follow such guiding principles. The benefits of this approach to treatment are discussed, including reduction in the number of evidence-based treatment manuals to be learned, administered, and supervised. The UP-A has demonstrated positive outcomes, yet further examination of clinical process variables is warranted. These clinical process variables and additional future directions for the UP-A are addressed. (PsycINFO Database Record (c) 2016 APA, all rights reserved)","Girio-Herrera, Erin;Ehrenreich-May, Jill","","","","Educational Publishing Foundation","2014","","US","51","1","117","122","","","*Adolescent Psychotherapy;  *Affective Disorders;  *Evidence Based Practice;  *Treatment; Clinical Practice; Models","24635001","2014-09060-003","Girio-Herrera, Erin: Department of Psychology, University of Miami, 5665 Ponce de Leon Boulevard, Coral Gables, FL, US, 33146, girioherrera@psy.miami.edu","1939-1536(Electronic);0033-3204(Print)","","https://doi.org/10.1037/a0032517"
"Review-Book","Review of Reaching out: The psychology of assertive outreach.","Reviews the book, Reaching out: The psychology of assertive outreach by Caroline Cupitt (see record 2009-16331-000). Assertive Community Treatment (ACT) is an evidence based service-delivery model that provides comprehensive, practical, flexible, team based treatment for people with serious and persistent mental illnesses. This book is an interesting collection of chapters edited by Caroline Cupitt that describes the experiences of implementing assertive outreach in Great Britain and the value of psychological approaches within an outreach team. The authors argue that assertive outreach is a very powerful intervention, but that ACT teams often lack valuable psychotherapeutic depth. The book is divided into two sections. Part I: Taking a Psychological Approach, includes five chapters describing the authors' strategies for incorporating psychological components into assertive outreach teams and two chapters on teamwork. Part II of the book includes five chapters on delivering psychological therapies within the context of assertive outreach. On balance, this book is an interesting and reasonably useful book. Like most edited volumes, some chapters are better than others and most readers will pay close attention to some parts and skim through others. (PsycINFO Database Record (c) 2016 APA, all rights reserved)","Zipple, Anthony","","","","International Association of Psychosocial Rehabilitation Services and Department of Rehabilitation Counseling, Sargent College of Health and Rehabilitation Services, Boston University","2011","","US","34","3","262","263","","","*Community Services;  *Intervention;  *Psychotherapy; Mental Disorders; Assertive Community Treatment","","2011-00786-016","","1559-3126(Electronic);1095-158X(Print)","978-0-415-45407-0","https://doi.org/10.1037/h0094668"
"Journal Article","An interprofessional care model for evaluating autism spectrum disorders (ASDs) among low-income children.","The worldwide prevalence of autism spectrum disorders (ASDs) is increasing, which will likely result in a growth of programs targeting the assessment and intervention needs of this population. However, there are few published studies documenting the development of programs that can serve as a valuable tool for communication of optimal service delivery and common obstacles and challenges. Programs targeting low-income, ethnically diverse populations are particularly imperative given the existing socioeconomic and ethnic disparities in ASD assessment and diagnosis. This article outlines the development of the MetroHealth Autism Assessment Clinic in Cleveland, Ohio, an interprofessional clinic targeting the assessment and diagnosis of ASDs in children ages 24 to 48 months from an inner-city underprivileged Medicaid population. In line with our goals of increasing diagnostic efficiency and care coordination, we examined clinical outcomes relative to preclinic data in time to diagnosis, number of providers seen prior to diagnosis, and number of “no-show” appointments. Results indicated significantly reduced time to diagnoses relative to preclinic data, likely associated with better care coordination. Number of providers seen and no-show appointments were not significantly different. Establishment of the clinic has enabled us to connect patients to community-based resources in a timely manner, potentially reducing disparities in ASD diagnosis and intervention. Obstacles have included scheduling monthly clinical staff meetings and procuring funding for a patient navigator. Future objectives include launching a parent support group and implementing short-term cognitive–behavioral therapy-based interventions for mothers of newly diagnosed children. (PsycINFO Database Record (c) 2016 APA, all rights reserved)","Koushik, Nikhil S.;Bacon, Beth;Stancin, Terry","","","","Educational Publishing Foundation","2015","","US","3","2","108","119","","","*Autism Spectrum Disorders;  *Diagnosis;  *Integrated Services;  *Measurement;  *Health Disparities; Intervention; Lower Income Level; Models; Treatment Outcomes","","2015-25793-002","Stancin, Terry: Department of Psychiatry, Metro-Health Medical Center, Cleveland, OH, US, 44109, tstancin@metrohealth.org","2169-4834(Electronic);2169-4826(Print)","","https://doi.org/10.1037/cpp0000093"
"Journal Article","Pediatric Psychosocial Preventative Health Model (PPPHM): Research, practice, and collaboration in pediatric family systems medicine.","A biopsychosocial framework for assessing and treating families of children in pediatric health care settings is presented. Guided by a social ecological perspective on child health, the Pediatric Psychosocial Preventative Health Model (PPPHM) is a 3-tier model based on a public health orientation. The goal of the PPPHM is to conceptualize how families of acutely and chronically ill children might be provided psychosocial support to match their level of need and risk. The largest group of families, Universal, consists of competent and adaptive families confronting health-related stressors. A smaller group of families, Targeted, is at some elevated risk for ongoing psychosocial difficulties. The smallest group of families, Clinical/Treatment, exhibits more evident symptomatology. Examples of family and systems interventions that integrate care among behavioral health care providers and within multidisciplinary treatment teams, across levels of the PPPHM, are presented and discussed. (PsycINFO Database Record (c) 2016 APA, all rights reserved)","Kazak, Anne E.","","","","Educational Publishing Foundation","2006","","US","24","4","381","395","","","*Biopsychosocial Approach;  *Family Medicine;  *Health Care Delivery;  *Pediatrics;  *Prevention; Family Systems Theory; Models","","2006-23216-003","Kazak, Anne E.: Children's Hospital of Philadelphia, 34th and Civic Center Boulevard, Room 1486, CHOP North, Philadelphia, PA, US, 19104-4399, kazak@email.chop.edu","1939-0602(Electronic);1091-7527(Print)","","https://doi.org/10.1037/1091-7527.24.4.381"
"Journal Article","Genetics, family systems, and multicultural influences.","With groundbreaking advances in genomic research, the diagnosis, treatment, and prevention of most health and mental health disorders will increasingly be understood as having a genetic component. This article provides an overview of the family systems genetic illness (FSGI) model to address the psychosocial challenges of genomic conditions for patients and their families and to help provide a biopsychosocial framework for clinical practice and research. The author also discusses some of the data highlighting the importance of multicultural issues in genetic screening and testing and the need for further research in this area. The FSGI model clusters genomic disorders on the basis of key characteristics that define types of disorders with similar patterns of psychosocial demands over time. Key disease variables include the likelihood of developing a disorder, based on specific genetic mutations; overall clinical severity; timing of clinical onset in the life cycle; and whether effective treatment interventions exist to alter disease onset or progression. Core nonsymptomatic time phases with key developmental challenges are described pre- and posttesting, including a long-term adaptation phase. The model is designed to be flexible and responsive to future discoveries in genomic research. Examples of its utility are discussed for preventive screening, family assessment and consultation, treatment planning, and service delivery in a variety of health care settings. (PsycINFO Database Record (c) 2016 APA, all rights reserved)","Rolland, John S.","","","","Educational Publishing Foundation","2006","","US","24","4","425","441","","","*Biopsychosocial Approach;  *Family Systems Theory;  *Genetic Counseling;  *Genetics;  *Multiculturalism; Genetic Disorders","","2006-23216-007","Rolland, John S.: 136 Laurel Avenue, Wilmette, IL, US, 60091, jrolland@uchicago.edu","1939-0602(Electronic);1091-7527(Print)","","https://doi.org/10.1037/1091-7527.24.4.425"
"Journal Article","Evaluating postdeployment training for coping with intrusive cognition: A comparison of training approaches.","Objective: Although intrusive cognition (IC) is remarkably common in soldiers postdeployment and successful coping with ICs may predict better long-term psychological health, few elements of current programmatic postdeployment trainings have directly addressed adaptive strategies for managing intrusive deployment-related cognitions. The current study explored the efficacy of a brief acceptance-based skills training for coping with ICs relative to a change-based skills training, a psychoeducation-only training, or training as usual. Method: Participants were 1,524 (1,372 men) active-duty U.S. Army soldiers between 3 and 12 months’ postdeployment. Results: Soldiers who received acceptance-based training demonstrated larger reductions in distress and impairment related to ICs about deployment at 1 month follow-up and larger reductions in symptoms of PTSD and general psychopathology relative to other training conditions. In contrast, participants in the change-oriented skills training showed relatively fewer benefits than did those in the acceptance-based training. In addition, soldiers who received the psychoeducation-only training showed no benefits relative to training as usual. Conclusions: Results suggest that brief trainings focused on postdeployment ICs may have benefits for soldiers up to 1 month later and may be a useful addition to a broader postdeployment transition program. Findings also indicate that an acceptance-based training approach may be more beneficial than a change-oriented approach for helping soldiers manage ICs and that psychoeducation alone may be insufficient for helping soldiers manage these cognitions. (PsycINFO Database Record (c) 2017 APA, all rights reserved)","Shipherd, Jillian C.;Salters-Pedneault, Kristalyn;Fordiani, Joanne","","","","American Psychological Association","2016","","US","84","11","960","971","","","*Coping Behavior;  *Military Deployment;  *Military Personnel;  *Stress Management;  *Intrusive Thoughts; Military Training","27599228","2016-42723-001","Shipherd, Jillian C.: Women’s Health Sciences Division (116B-3), VA Boston Healthcare System, National Center for PTSD, 150 South Huntington Avenue, Boston, MA, US, 02130, jillian.shipherd@va.gov","1939-2117(Electronic);0022-006X(Print)","","https://doi.org/10.1037/ccp0000136"
